word,length,instance_id,start,end,path
it,2,180,I12,H11,I12 -> H11
it,2,193,A13,A14,A13 -> A14
it,2,199,D13,C12,D13 -> C12
it,2,200,D13,C13,D13 -> C13
of,2,11,F2,E1,F2 -> E1
on,2,12,F2,G1,F2 -> G1
on,2,44,K3,L4,K3 -> L4
on,2,143,I10,I11,I10 -> I11
on,2,175,D12,E11,D12 -> E11
or,2,176,D12,E13,D12 -> E13
or,2,188,K12,K13,K12 -> K13
to,2,20,K2,K3,K2 -> K3
to,2,64,B5,A6,B5 -> A6
to,2,142,H10,I10,H10 -> I10
to,2,144,J10,I10,J10 -> I10
to,2,162,H11,I10,H11 -> I10
to,2,172,C12,D12,C12 -> D12
to,2,194,C13,D12,C13 -> D12
up,2,80,C6,D7,C6 -> D7
a,1,8,L1,L1,L1
a,1,13,H2,H2,H2
a,1,25,N2,N2,N2
a,1,39,F3,F3,F3
a,1,55,E4,E4,E4
a,1,58,J4,J4,J4
a,1,101,I6,I6,I6
a,1,104,K6,K6,K6
a,1,110,A7,A7,A7
a,1,127,E8,E8,E8
a,1,139,C10,C10,C10
a,1,152,B11,B11,B11
a,1,170,K11,K11,K11
a,1,177,E12,E12,E12
a,1,203,L13,L13,L13
